company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
NAMECO (NO.101) LIMITED,03440574,Active,Private limited company,,,1997-09-26,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
CROWE CAPITAL LIMITED,03431334,Active,Private limited company,,,1997-09-09,,,65110 65120 65201 65202,5th Floor 70 Gracechurch Street London EC3V 0XL England
TITAN INSURANCE SERVICES LIMITED,02078796,Active,Private limited company,,,1986-12-01,,,65110,"9.17, Capital Tower 91 Waterloo Road London SE1 8RT United Kingdom"
METHVEN BURRELL LTD,08800383,Active,Private limited company,,,2013-12-03,,,65110 65120,Crown House 27 Old Gloucester Road London WC1N 3AX England
NAMECO (NO.317) LIMITED,03846481,Active,Private limited company,,,1999-09-22,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
BCC CCM LIMITED,12795757,Active,Private limited company,,,2020-08-06,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
BBT GROUP LIMITED,03489429,Active,Private limited company,,,1998-01-07,,,65110 65201 65300 74909,3 Mariner Court Calder Park Wakefield WF4 3FL England
NAMECO (NO. 1264) LIMITED,09591488,Active,Private limited company,,,2015-05-14,,,65110 65120 65201 65202,3 Castlegate Grantham NG31 6SF England
MSM HEXAGON LTD,14383609,Active,Private limited company,,,2022-09-28,,,64922 65110 65120 66220,25-29 Sandy Way Yeadon Leeds LS19 7EW England
PHARON INDEPENDENT FINANCIAL ADVISERS LIMITED,01105564,Active,Private limited company,,,1973-04-02,,,65110,Lawrence House Summer Hill Harbledown Canterbury CT2 8GT United Kingdom
NAMECO (NO. 1164) LIMITED,08933663,Active,Private limited company,,,2014-03-11,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
B.B.P.H. LIMITED,07456338,Active,Private limited company,,,2010-12-01,,,65110 65300,"7 Whitehill Road Barton Le Clay MK45 4PF "
THE MORTGAGE CORNER LIMITED,03981158,Active,Private limited company,,,2000-04-26,,,64922 65110 66190 66220,"1 Vicarage Lane Hessle HU13 9LQ "
R.S. ROBERTSON & CO. (PENSIONS) & INVESTMENTS) LTD,SC049681,Active,Private limited company,,,1971-12-29,,,65110 65201 65300,2 West Marketgait Dundee DD1 1QN Scotland
FERRIS & CULVERWELL FINANCIAL SERVICES LIMITED,04461835,Active,Private limited company,,,2002-06-14,,,65110 65300 66290 82990,"36 St Johns Street Devizes Wiltshire SN10 1BL "
BPS ASSET PROTECTION LIMITED,NI616295,Active,Private limited company,,,2013-01-14,,,65110,6 Trevor Hill Newry BT34 1DN Northern Ireland
ANDREW PARR FINANCIAL SERVICES LIMITED,04714486,Active,Private limited company,,,2003-03-27,,,65110 65201,"Hollinwood Business Centre Albert Street Oldham OL8 3QL "
APPLEWOOD INDEPENDENT LTD,03565805,Active,Private limited company,,,1998-05-18,,,65110 65120 65201 65300,Afh House Buntsford Drive Stoke Heath Bromsgrove B60 4JE England
NAMECO (NO. 1140) LIMITED,08924170,Active,Private limited company,,,2014-03-05,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1079) LIMITED,08591749,Active,Private limited company,,,2013-07-01,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1012) LIMITED,07385831,Active,Private limited company,,,2010-09-23,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
INTELLIGENT FINANCIAL SERVICES LTD,05572441,Active,Private limited company,,,2005-09-23,,,64922 65110,29 Higher Road Fremington Barnstaple EX31 3BG England
NAMECO (NO. 1010) LIMITED,07382129,Active,Private limited company,,,2010-09-21,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.322) LIMITED,03846502,Active,Private limited company,,,1999-09-22,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
SEVENTY FIVE CAPITAL LIMITED,03431349,Active,Private limited company,,,1997-09-09,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1135) LIMITED,08920814,Active,Private limited company,,,2014-03-04,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.340) LIMITED,03846493,Active,Private limited company,,,1999-09-22,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1125) LIMITED,08704630,Active,Private limited company,,,2013-09-25,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
GASTROPOD LIMITED,08603891,Active,Private limited company,,,2013-07-10,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1126) LIMITED,08704598,Active,Private limited company,,,2013-09-24,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
PRO-MEDICA SERVICES (SOUTH WALES) LIMITED,04572992,Active,Private limited company,,,2002-10-24,,,65110 65201 65202,"Court House Court Road Bridgend CF31 1BE "
BERNASCO UNDERWRITING LIMITED,03637423,Active,Private limited company,,,1998-09-18,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
R.J. HURST & PARTNERS LIMITED,00492768,Active,Private limited company,,,1951-03-15,,,65110,14 Crusader Business Park Stephenson Road West Clacton On Sea CO15 4TN United Kingdom
NAMECO (NO. 28) LIMITED,03431271,Active,Private limited company,,,1997-09-09,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1089) LIMITED,08599414,Active,Private limited company,,,2013-07-05,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 988) LIMITED,07209126,Active,Private limited company,,,2010-03-31,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.356) LIMITED,03846578,Active,Private limited company,,,1999-09-22,,,65110 65120 65201 65202,3 Castlegate Grantham NG31 6SF United Kingdom
NAMECO (NO.222) LIMITED,03637249,Active,Private limited company,,,1998-09-24,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 34) LIMITED,03431364,Active,Private limited company,,,1997-09-09,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
ACORN TO OAKS FINANCIAL SERVICES LTD,06547017,Active,Private limited company,,,2008-03-27,,,65110 65120 66220,"93 Church Street Bilston WV14 0BJ "
LAWTON & TAYLOR FINANCIAL SERVICES LIMITED,04916952,Active,Private limited company,,,2003-09-30,,,65110 65120 65300,"118 Normoss Road Blackpool Lancashire FY3 8QP "
NAMECO (NO. 1139) LIMITED,08924261,Active,Private limited company,,,2014-03-05,,,65110 65120 65201 65202,3 Castlegate Grantham NG31 6SF England
PETER JOHNSON FINANCIAL PLANNING LTD,08248086,Active,Private limited company,,,2012-10-10,,,65110 65300 66190 66300,"13 Trinity Square Llandudno LL30 2RB "
ACCLAIMED MORTGAGE CONSULTANCY LTD,12969345,Active,Private limited company,,,2020-10-22,,,64922 65110,21 Dengate Drive Balsall Common Coventry CV7 7UL England
NAMECO (NO. 1151) LIMITED,08932881,Active,Private limited company,,,2014-03-11,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
WILLIAM RUSSELL LIMITED,02687939,Active,Private limited company,,,1992-02-17,,,65110 65120 66220,"William Russell House The Square Lightwater GU18 5SS "
SRK CONSULTING (GLP) LIMITED,10569244,Active,Private limited company,,,2017-01-18,,,65110,"5th Floor, Churchill House 17 Churchill Way Cardiff CF10 2HH Wales"
HEMMINGS HOMES FINANCIAL SERVICES LTD,SC625160,Active,Private limited company,,,2019-03-21,,,64922 65110,376 Brandon Street Motherwell ML1 1XA Scotland
ANDREW DE JERSEY LIMITED,09453546,Active,Private limited company,,,2015-02-23,,,65110 65120 65300 66110,Flat 11 Cransley Court 18 Portarlington Road Bournemouth BH4 8BY England
CLEGGACY FINANCIAL LIMITED,15211715,Active,Private limited company,,,2023-10-15,,,64922 64999 65110 65120,39 Oak Drive Leeds LS14 2FB United Kingdom
NAMECO (NO.378) LIMITED,03846545,Active,Private limited company,,,1999-09-22,,,65110 65120 65201 65202,5th Floor 70 Gracechurch Street London EC3V 0XL England
SCALBY HOLDINGS LIMITED,11843553,Active,Private limited company,,,2019-02-25,,,65110 65120 65201 65202,5th Floor 70 Gracechurch Street London EC3V 0XL England
PRICE FERGUSON (FARNHAM) LIMITED,12509370,Active,Private limited company,,,2020-03-10,,,65110 65300,100 High Path Road Guildford GU1 2QP United Kingdom
NAMECO (NO. 967) LIMITED,07012934,Active,Private limited company,,,2009-09-08,,,65110 65120 65201 65202,5th Floor 70 Gracechurch Street London EC3V 0XL England
NAMECO (NO. 1108) LIMITED,08653900,Active,Private limited company,,,2013-08-16,,,65110 65120 65201 65202,5th Floor 70 Gracechurch Street London EC3V 0XL England
PETRUS CAPITAL LIMITED,03440653,Active,Private limited company,,,1997-09-26,,,65110 65120 65201 65202,5th Floor 70 Gracechurch Street London EC3V 0XL England
CATLIN RISK SOLUTIONS LIMITED,01722567,Active,Private limited company,,,1983-05-12,,,65110 65120,"20 Gracechurch Street London EC3V 0BG "
ALAN BOSWELL & COMPANY LIMITED,04379208,Active,Private limited company,,,2002-02-21,,,64999 65110 65120,Prospect House Rouen Road Norwich NR1 1RE England
STEWART RE LIMITED,03846539,Active,Private limited company,,,1999-09-22,,,65110 65120 65201 65202,3 Castlegate Grantham NG31 6SF England
SCRUTTON BLAND FINANCIAL SERVICES LIMITED,01288848,Active,Private limited company,,,1976-12-01,,,65110 65120,910 The Crescent Colchester Business Park Colchester CO4 9YQ England
CHARTERWOOD RESOURCE MANAGEMENT LIMITED,06031029,Active,Private limited company,,,2006-12-18,,,64304 65110 65120 65300,"7 Ty Draw Lane South Cornelly Bridgend CF33 4SD "
EUI LIMITED,02686904,Active,Private limited company,,,1992-02-12,,,65110 65120,Ty Admiral David Street Cardiff CF10 2EH United Kingdom
METLIFE UK LIMITED,13992711,Active,Private limited company,,,2022-03-21,,,65110,Invicta House Trafalgar Place Brighton BN1 4FR United Kingdom
WEALTHWISE LIMITED,08338315,Active,Private limited company,,,2012-12-20,,,65110,"92 Lichfield Street Tamworth B79 7QF "
COVÉA LIFE LIMITED,00911235,Active,Private limited company,,,1967-07-21,,,65110,A&B Mills Dean Clough Halifax HX3 5AX United Kingdom
NATIONWIDE FINANCIAL ADVISORS LIMITED,04631838,Active,Private limited company,,,2003-01-09,,,65110,"45 Fernhurst Drive Brierley Hill DY5 4PU "
BEAKES FINANCIAL SOLUTIONS LIMITED,14554771,Active,Private limited company,,,2022-12-22,,,64922 65110,Slanha 25 The Glade Ashley Heath Ringwood BH24 2HR England
LIFELYNE LTD,15032476,Active,Private limited company,,,2023-07-27,,,65110,1-5 Victoria Street Chadderton Oldham OL9 0HH England
NAMECO (NO.133) LIMITED,03440685,Active,Private limited company,,,1997-09-26,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
TONY ROGERS FINANCIAL MANAGEMENT LIMITED,05939525,Active,Private limited company,,,2006-09-19,,,65110,"South Tees Business Centre Enterprise Court Puddlers Road Middlesbrough TS6 6TL "
CHESHIRE FINANCIAL & FAMILY SERVICES LIMITED,12213041,Active,Private limited company,,,2019-09-18,,,64922 65110 96030,3 Brownlow Hall Mews Brook Lane Moreton Cum Alcumlow CW12 4TJ England
ZS PROTECTION SOLUTIONS LTD,15907531,Active,Private limited company,,,2024-08-20,,,65110,Gatcombe House Copnor Road Portsmouth PO3 5EJ United Kingdom
RSL NO.47 LIMITED,09589095,Active,Private limited company,,,2015-05-13,,,65110 65120 65201 65202,5th Floor 70 Gracechurch Street London EC3V 0XL England
JDD KASASKA LTD,10040142,Active,Private limited company,,,2016-03-03,,,65110,Index House St Georges Lane Ascot SL5 7ET United Kingdom
TIMOTHY WADDELL WEALTH MANAGEMENT LIMITED,07750335,Active,Private limited company,,,2011-08-23,,,64999 65110 65300,162 Yarmouth Road Lowestoft NR32 4AB England
BETTER MORTGAGES AND PROTECTION LTD,15992912,Active,Private limited company,,,2024-10-02,,,64922 65110,516c 516c Queens Promenade Thornton-Cleveleys FY5 1PQ England
EXCALIBER ASSOCIATES LIMITED,06435579,Active,Private limited company,,,2007-11-23,,,64999 65110 66220,79 Ridgeway Plymouth PL7 2AW England
MAY MORTGAGES LTD,13640134,Active,Private limited company,,,2021-09-23,,,64922 65110,29 Park Avenue West Epsom KT17 2NU England
DEEVYNE MORTGAGE SERVICES LIMITED,15975272,Active,Private limited company,,,2024-09-24,,,64205 64999 65110,2nd Floor 134 South Street Romford RM1 1TE England
RICHARDSON HAWORTH (LIFE AND PENSIONS) LIMITED,01755511,Active,Private limited company,,,1983-09-23,,,65110,"Waterloo House 17 Waterloo Road Norwich NR3 1EH "
JAMIE CHALLINOR INSURANCE SOLUTIONS LTD,10364961,Active,Private limited company,,,2016-09-08,,,65110 65120,Suites 6&7 High Street Chambers Chambers House High Street Shrewsbury SY1 1SP England
JOHN LEES EQUITY RELEASE & MORTGAGE SOLUTIONS LTD,14576357,Active,Private limited company,,,2023-01-06,,,64921 64922 65110,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
HL FINANCIAL SERVICES LIMITED,04745324,Active,Private limited company,,,2003-04-25,,,65110,Unit 2.02 High Weald House Glovers End Bexhill TN39 5ES England
R & E SOLUTIONS LTD,11585074,Active,Private limited company,,,2018-09-24,,,65110 66220,Anaconda Cut 4105 100 Greengate Salford M3 7NG England
L & N PROTECTION LTD,15134787,Active,Private limited company,,,2023-09-12,,,65110,8c Perring Avenue Farnborough GU14 9DB England
NEW HANFORD LIMITED,03440551,Active,Private limited company,,,1997-09-26,,,65110 65120 65201 65202,5th Floor 70 Gracechurch Street London EC3V 0XL England
NAMECO (NO. 978) LIMITED,07013173,Active,Private limited company,,,2009-09-08,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 974) LIMITED,07013047,Active,Private limited company,,,2009-09-08,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 973) LIMITED,07013072,Active,Private limited company,,,2009-09-08,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
WATERS CORPORATE MEMBER 916 LIMITED,05234706,Active,Private limited company,,,2004-09-17,,,65110 65120 65201 65202,5th Floor 70 Gracechurch Street London EC3V 0XL England
GESSENAY LIMITED,08682586,Active,Private limited company,,,2013-09-09,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 976) LIMITED,07013157,Active,Private limited company,,,2009-09-08,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
FUTTURE HOMES LIMITED,07820324,Active,Private limited company,,,2011-10-24,,,64922 65110 66220 96090,11 Woodcock Hill Harrow HA3 0XP United Kingdom
NAMECO (NO.379) LIMITED,03846549,Active,Private limited company,,,1999-09-22,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1329) LIMITED,11581780,Active,Private limited company,,,2018-09-21,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.411) LIMITED,03848221,Active,Private limited company,,,1999-09-24,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.421) LIMITED,03848243,Active,Private limited company,,,1999-09-24,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.419) LIMITED,03848150,Active,Private limited company,,,1999-09-24,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.414) LIMITED,03848161,Active,Private limited company,,,1999-09-24,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.393) LIMITED,03848227,Active,Private limited company,,,1999-09-24,,,65110 65120 65201 65202,"5th Floor, 40 Gracechurch Street London EC3V 0BT England"
MD WEALTH LTD,15979192,Active,Private limited company,,,2024-09-25,,,64922 64999 65110 66220,21a Park Lane Poynton SK12 1RD United Kingdom
NAMECO (NO.263) LIMITED,03641479,Active,Private limited company,,,1998-10-01,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.373) LIMITED,03846554,Active,Private limited company,,,1999-09-22,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
LEWTAS & MOONEY ASSOCIATES LIMITED,04886603,Active,Private limited company,,,2003-09-03,,,65110,"The Warrant House High Street Altrincham WA14 1PZ "
KEYLINE FINANCIAL SERVICES LIMITED,03165086,Active,Private limited company,,,1996-02-27,,,65110,"9 Barton Road Worsley Manchester M28 2PD "
FORESTER LIFE LIMITED,02997655,Active,Private limited company,,,1994-12-02,,,65110,"2 Cromwell Avenue Bromley BR2 9BF "
FG & COOK FINANCIAL SERVICES LIMITED,15962700,Active,Private limited company,,,2024-09-17,,,64922 65110,27 Old Gloucester Street London WC1N 3AX United Kingdom
NAMECO (NO.264) LIMITED,03641477,Active,Private limited company,,,1998-10-01,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
RHIDIAN JONES FINANCIAL ADVICE & COMPLIANCE SERVICES LTD,11236904,Active,Private limited company,,,2018-03-06,,,64302 65110 65300 70221,Ton Bach Farm Orchard Close Orchard Close Bridgend CF35 6RJ Wales
INDEPENDENT LIVING SPECIALISTS LIMITED,07900555,Active,Private limited company,,,2012-01-06,,,65110,"38 Woodsland Road Hassocks BN6 8HG "
THOMAS BETTS FINANCIAL SOLUTIONS LTD,13921794,Active,Private limited company,,,2022-02-17,,,65110,16 Lyneham Drive Quedgeley Gloucester GL2 2AY England
NAMECO (NO.112) LIMITED,03440775,Active,Private limited company,,,1997-09-26,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 50) LIMITED,03431204,Active,Private limited company,,,1997-09-09,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
LDHEARD LIMITED,12904876,Active,Private limited company,,,2020-09-25,,,65110 66220,Unit 6 Birchy Cross Business Centre Broad Lane Tanworth-In-Arden Solihull B94 5DN England
NAMECO (NO.103) LIMITED,03441115,Active,Private limited company,,,1997-09-29,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.106) LIMITED,03440549,Active,Private limited company,,,1997-09-26,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 11) LIMITED,03431419,Active,Private limited company,,,1997-09-09,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
JACKSON POTTER LTD,04414459,Active,Private limited company,,,2002-04-11,,,64192 65110 65120,"109 Sea Road Fulwell Sunderland SR6 9BN "
NAMECO (NO.114) LIMITED,03440620,Active,Private limited company,,,1997-09-26,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 47) LIMITED,03431192,Active,Private limited company,,,1997-09-09,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 12) LIMITED,03431420,Active,Private limited company,,,1997-09-09,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1133) LIMITED,08920664,Active,Private limited company,,,2014-03-04,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1137) LIMITED,08920925,Active,Private limited company,,,2014-03-04,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1142) LIMITED,08924271,Active,Private limited company,,,2014-03-05,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.247) LIMITED,03637829,Active,Private limited company,,,1998-09-24,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.351) LIMITED,03846629,Active,Private limited company,,,1999-09-22,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1200) LIMITED,08952919,Active,Private limited company,,,2014-03-21,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.343) LIMITED,03846489,Active,Private limited company,,,1999-09-22,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.233) LIMITED,03637505,Active,Private limited company,,,1998-09-24,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1199) LIMITED,08952782,Active,Private limited company,,,2014-03-21,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
HYDE PARK CAPITAL LIMITED,08703520,Active,Private limited company,,,2013-09-24,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 910) LIMITED,05232648,Active,Private limited company,,,2004-09-15,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 964) LIMITED,07012830,Active,Private limited company,,,2009-09-08,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 915) LIMITED,05234701,Active,Private limited company,,,2004-09-17,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.345) LIMITED,03846484,Active,Private limited company,,,1999-09-22,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1155) LIMITED,08933655,Active,Private limited company,,,2014-03-11,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1173) LIMITED,08936706,Active,Private limited company,,,2014-03-13,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1183) LIMITED,08946506,Active,Private limited company,,,2014-03-19,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.24) LIMITED,03431222,Active,Private limited company,,,1997-09-09,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1144) LIMITED,08925976,Active,Private limited company,,,2014-03-06,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 500) LIMITED,04074876,Active,Private limited company,,,2000-09-20,,,65110 65120,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.207) LIMITED,03637165,Active,Private limited company,,,1998-09-23,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.210) LIMITED,03637223,Active,Private limited company,,,1998-09-24,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.390) LIMITED,03848167,Active,Private limited company,,,1999-09-24,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1205) LIMITED,08953346,Active,Private limited company,,,2014-03-21,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.231) LIMITED,03637522,Active,Private limited company,,,1998-09-24,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1198) LIMITED,08952949,Active,Private limited company,,,2014-03-21,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.212) LIMITED,03637214,Active,Private limited company,,,1998-09-24,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.267) LIMITED,03643282,Active,Private limited company,,,1998-10-02,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 3) LIMITED,03431381,Active,Private limited company,,,1997-09-09,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.335) LIMITED,03846593,Active,Private limited company,,,1999-09-22,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.323) LIMITED,03846635,Active,Private limited company,,,1999-09-22,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 901) LIMITED,05222662,Active,Private limited company,,,2004-09-06,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 966) LIMITED,07012901,Active,Private limited company,,,2009-09-08,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 968) LIMITED,07012980,Active,Private limited company,,,2009-09-08,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1163) LIMITED,08933577,Active,Private limited company,,,2014-03-11,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 1123) LIMITED,08699208,Active,Private limited company,,,2013-09-20,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
VIA WEALTH LIMITED,03559751,Active,Private limited company,,,1998-05-07,,,65110 65120 65202 82990,"Henderson Business Centre Ivy Road Norwich NR5 8BF "
NAMECO (NO. 1184) LIMITED,08946363,Active,Private limited company,,,2014-03-19,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO.364) LIMITED,03846535,Active,Private limited company,,,1999-09-22,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
MJA FINANCIAL LIMITED,06367695,Active,Private limited company,,,2007-09-11,,,65110,36 Perrymead Prestwich Manchester M25 2QJ England
TECHNICAL SUPPORT SERVICES CARDIFF LIMITED,10659162,Active,Private limited company,,,2017-03-08,,,65110,43 Bellevue Road West Cross Swansea SA3 5QB Wales
LIR I & R LTD,08474968,Active,Private limited company,,,2013-04-05,,,65110 66290 70229,27 Wrightington Street Wigan WN1 2BX England
DMW FIN SERV LTD,15176303,Active,Private limited company,,,2023-09-29,,,64922 65110 65120,9 Bentfield Close Wirral CH63 8NB United Kingdom
SPEAR FINANCIAL LIMITED,06503284,Active,Private limited company,,,2008-02-13,,,65110 65300,Broome's Barns Pilsley Lane Pilsley Bakewell DE45 1PF United Kingdom
OAK FINANCIAL MANAGEMENT LTD,07410638,Active,Private limited company,,,2010-10-18,,,65110,"Airport House Business Centre Airport House Purley Way Croydon CR0 0XZ "
PRM COMMERCIAL & GENERAL LIMITED,15170842,Active,Private limited company,,,2023-09-28,,,65110 65120 66290,Star House 95 High Road Benfleet SS7 5LN England
PRICEGUARD LTD,04247300,Active,Private limited company,,,2001-07-06,,,65110 65120 65300 82990,"12 Burway Trading Estate Bromfield Road Ludlow SY8 1EN "
ASSURED MORTGAGE SERVICES LTD,12088634,Active,Private limited company,,,2019-07-06,,,64922 65110 65120,2 Marston Road Croft Leicester LE9 3GX England
IN PRACTICE FINANCIAL MANAGEMENT LIMITED,04829242,Active,Private limited company,,,2003-07-10,,,65110 65201 65300,"408 Loughborough Road West Bridgford Nottingham NG2 7FD "
NAMECO (NO. 1408) LIMITED,15828402,Active,Private limited company,,,2024-07-09,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
NAMECO (NO. 953) LIMITED,06985411,Active,Private limited company,,,2009-08-08,,,65110 65120 65201 65202,5th Floor 40 Gracechurch Street London EC3V 0BT England
